"FISID","URI","MONIKER"
"101353","http://aims.fao.org/aos/geopolitical.owl#Afghanistan","Country"
"101353","http://aims.fao.org/aos/geopolitical.owl#Republic_of_Korea__the","Country"
"103645","http://aims.fao.org/aos/geopolitical.owl#Colombia","Country"
"103645","http://aims.fao.org/aos/geopolitical.owl#Ireland","Country"
"103645","http://aims.fao.org/aos/geopolitical.owl#Nepal","Country"
"103645","http://aims.fao.org/aos/geopolitical.owl#New_Zealand","Country"
"104503","http://aims.fao.org/aos/geopolitical.owl#France","Country"
"105978","http://aims.fao.org/aos/geopolitical.owl#Afghanistan","Country"
"105978","http://aims.fao.org/aos/geopolitical.owl#Israel","Country"
"105978","http://aims.fao.org/aos/geopolitical.owl#Nepal","Country"
"105978","http://aims.fao.org/aos/geopolitical.owl#Peru","Country"
"113253","http://aims.fao.org/aos/geopolitical.owl#Switzerland","Country"
"113253","http://aims.fao.org/aos/geopolitical.owl#United_Kingdom_of_Great_Britain_and_Northern_Ireland__the","Country"
"118482","http://aims.fao.org/aos/geopolitical.owl#France","Country"
"118482","http://aims.fao.org/aos/geopolitical.owl#Italy","Country"
"122696","http://aims.fao.org/aos/geopolitical.owl#Jamaica","Country"
"143349","http://aims.fao.org/aos/geopolitical.owl#France","Country"
"143742","http://aims.fao.org/aos/geopolitical.owl#United_Kingdom_of_Great_Britain_and_Northern_Ireland__the","Country"
"144503","http://aims.fao.org/aos/geopolitical.owl#Mexico","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#Australia","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#Canada","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#France","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#Germany","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#New_Zealand","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#Sweden","Country"
"145834","http://aims.fao.org/aos/geopolitical.owl#United_Kingdom_of_Great_Britain_and_Northern_Ireland__the","Country"
"147509","http://aims.fao.org/aos/geopolitical.owl#Australia","Country"
